country_code,country_name,region,sub_region,region_code,sub_region_code
ROU,Romania,Europe,Eastern Europe,150.0,151.0
RUS,Russia,Europe,Eastern Europe,150.0,151.0
RWA,Rwanda,Africa,Eastern Africa,2.0,14.0
BLM,Saint Barthelemy,Americas,Caribbean,19.0,29.0
KNA,Saint Kitts and Nevis,Americas,Caribbean,19.0,29.0
LCA,Saint Lucia,Americas,Caribbean,19.0,29.0
MAF,Saint Martin,Americas,Caribbean,19.0,29.0
SPM,Saint Pierre and Miquelon,Americas,Northern America,19.0,21.0
VCT,Saint Vincent and the Grenadines,Americas,Caribbean,19.0,29.0
WSM,Samoa,Oceania,Polynesia,9.0,61.0
SMR,San Marino,Europe,Southern Europe,150.0,39.0
STP,Sao Tome and Principe,Africa,Middle Africa,2.0,17.0
SAU,Saudi Arabia,Asia,Western Asia,142.0,145.0
SEN,Senegal,Africa,Western Africa,2.0,11.0
SRB,Serbia,Europe,Southern Europe,150.0,39.0
SYC,Seychelles,Africa,Eastern Africa,2.0,14.0
SLE,Sierra Leone,Africa,Western Africa,2.0,11.0
SGP,Singapore,Asia,South-Eastern Asia,142.0,35.0
SXM,Sint Maarten,Americas,Caribbean,19.0,29.0
SVK,Slovakia,Europe,Eastern Europe,150.0,151.0
SVN,Slovenia,Europe,Southern Europe,150.0,39.0
SLB,Solomon Islands,Oceania,Melanesia,9.0,54.0
SOM,Somalia,Africa,Eastern Africa,2.0,14.0
ZAF,South Africa,Africa,Southern Africa,2.0,18.0
KOR,South Korea,Asia,Eastern Asia,142.0,30.0
SSD,South Sudan,Africa,Eastern Africa,2.0,14.0
ESP,Spain,Europe,Southern Europe,150.0,39.0
LKA,Sri Lanka,Asia,Southern Asia,142.0,34.0
SDN,Sudan,Africa,Northern Africa,2.0,15.0
SUR,Suriname,Americas,South America,19.0,5.0
SWE,Sweden,Europe,Northern Europe,150.0,154.0
CHE,Switzerland,Europe,Western Europe,150.0,155.0
SYR,Syria,Asia,Western Asia,142.0,145.0
TWN,Taiwan,Asia,Eastern Asia,142.0,30.0
TJK,Tajikistan,Asia,Central Asia,142.0,143.0
TZA,Tanzania,Africa,Eastern Africa,2.0,14.0
THA,Thailand,Asia,South-Eastern Asia,142.0,35.0
TLS,Timor-Leste,Asia,South-Eastern Asia,142.0,35.0
TGO,Togo,Africa,Western Africa,2.0,11.0
TKL,Tokelau,Oceania,Polynesia,9.0,61.0
TON,Tonga,Oceania,Polynesia,9.0,61.0
TTO,Trinidad and Tobago,Americas,Caribbean,19.0,29.0
TUN,Tunisia,Africa,Northern Africa,2.0,15.0
TUR,Turkey,Asia,Western Asia,142.0,145.0
TKM,Turkmenistan,Asia,Central Asia,142.0,143.0
TCA,Turks and Caicos Islands,Americas,Caribbean,19.0,29.0
TUV,Tuvalu,Oceania,Polynesia,9.0,61.0
UGA,Uganda,Africa,Eastern Africa,2.0,14.0
UKR,Ukraine,Europe,Eastern Europe,150.0,151.0
ARE,United Arab Emirates,Asia,Western Asia,142.0,145.0
GBR,United Kingdom,Europe,Northern Europe,150.0,154.0
USA,United States,Americas,Northern America,19.0,21.0
VIR,United States Virgin Islands,Americas,Caribbean,19.0,29.0
URY,Uruguay,Americas,South America,19.0,5.0
UZB,Uzbekistan,Asia,Central Asia,142.0,143.0
VUT,Vanuatu,Oceania,Melanesia,9.0,54.0
VAT,Vatican City,Europe,Southern Europe,150.0,39.0
VEN,Venezuela,Americas,South America,19.0,5.0
VNM,Vietnam,Asia,South-Eastern Asia,142.0,35.0
WLF,Wallis and Futuna,Oceania,Polynesia,9.0,61.0
ESH,Western Sahara,Africa,Northern Africa,2.0,15.0
YEM,Yemen,Asia,Western Asia,142.0,145.0
ZMB,Zambia,Africa,Eastern Africa,2.0,14.0
ZWE,Zimbabwe,Africa,Eastern Africa,2.0,14.0
