,year,month,R1,temp_mean,temp_max,temp_min,country_code
1732,2004,1,31.928571428571427,-9.65,-6.607142857142857,-13.235714285714286,FIN
1733,2004,2,39.857142857142854,-8.485714285714286,-4.7,-12.585714285714285,FIN
1734,2004,3,25.428571428571427,-3.492857142857143,0.6214285714285716,-7.542857142857143,FIN
1735,2004,4,8.071428571428571,2.3642857142857143,8.2,-3.6928571428571426,FIN
1736,2004,5,48.357142857142854,7.685714285714285,12.700000000000001,2.9857142857142853,FIN
1737,2004,6,70.35714285714286,11.578571428571427,16.29285714285714,6.792857142857143,FIN
1738,2004,7,123.64285714285714,15.978571428571428,20.62857142857143,11.535714285714286,FIN
1739,2004,8,80.21428571428571,14.285714285714286,18.62142857142857,10.335714285714285,FIN
1740,2004,9,86.85714285714286,9.942857142857141,13.114285714285714,7.142857142857143,FIN
1741,2004,10,33.642857142857146,3.042857142857143,5.871428571428572,0.36428571428571427,FIN
1742,2004,11,42.214285714285715,-3.3857142857142857,-0.6071428571428571,-6.464285714285714,FIN
1743,2004,12,64.57142857142857,-3.6285714285714286,-0.7285714285714285,-7.392857142857143,FIN
1744,2004,1,116.97826086956522,6.851063829787234,9.96808510638298,4.038297872340425,FRA
1745,2004,2,35.97826086956522,7.034782608695653,11.184782608695652,3.6695652173913045,FRA
1746,2004,3,51.56818181818182,7.577272727272727,12.145454545454545,3.5727272727272723,FRA
1747,2004,4,77.0952380952381,10.430952380952382,15.011904761904763,6.242857142857143,FRA
1748,2004,5,51.108695652173914,14.02,18.971111111111114,9.102222222222222,FRA
1749,2004,6,25.533333333333335,18.864444444444445,24.011111111111113,13.755555555555556,FRA
1750,2004,7,48.0,19.30217391304348,24.46521739130435,14.497826086956522,FRA
1751,2004,8,83.58695652173913,19.85217391304348,24.82608695652174,15.665217391304349,FRA
1752,2004,9,33.723404255319146,17.5,22.534042553191487,13.095744680851064,FRA
1753,2004,10,111.58695652173913,14.326086956521738,18.523913043478263,11.028260869565218,FRA
1754,2004,11,42.04347826086956,8.98913043478261,12.410869565217391,6.121739130434783,FRA
1755,2004,12,74.95652173913044,6.482608695652174,9.615217391304348,3.821739130434783,FRA
1756,2004,1,143.5,26.0,30.85,22.75,GUF
1757,2004,2,180.0,26.133333333333336,30.53333333333333,22.733333333333334,GUF
1758,2004,3,404.6666666666667,25.7,29.96666666666667,23.3,GUF
1759,2004,4,578.0,26.400000000000002,30.866666666666664,23.2,GUF
1760,2004,5,448.0,25.933333333333334,31.033333333333335,23.333333333333332,GUF
1761,2004,6,357.6666666666667,25.666666666666668,30.666666666666668,22.400000000000002,GUF
1762,2004,7,241.33333333333334,26.099999999999998,31.400000000000002,22.0,GUF
1763,2004,8,534.0,27.0,32.7,21.2,GUF
1764,2004,9,125.33333333333333,27.233333333333334,33.5,22.03333333333333,GUF
1765,2004,10,276.3333333333333,27.7,33.86666666666667,22.166666666666668,GUF
1766,2004,11,225.0,27.833333333333332,33.6,22.03333333333333,GUF
1767,2004,12,114.33333333333333,27.53333333333333,33.36666666666667,22.3,GUF
1768,2004,1,256.0,26.575,29.375,24.3,PYF
1769,2004,2,107.75,27.075,30.0,24.55,PYF
1770,2004,3,235.75,26.8625,29.9,24.3375,PYF
1771,2004,4,214.625,26.1625,28.925,23.8625,PYF
1772,2004,5,92.375,25.2375,28.057142857142857,22.957142857142856,PYF
1773,2004,6,120.375,23.9,26.8375,21.45,PYF
1774,2004,7,125.375,22.9875,26.0375,20.4875,PYF
1775,2004,8,98.625,23.2125,26.275,20.6125,PYF
1776,2004,9,59.714285714285715,23.228571428571428,26.314285714285713,20.642857142857142,PYF
1777,2004,10,138.42857142857142,23.957142857142856,26.8,21.642857142857142,PYF
1778,2004,11,172.57142857142858,24.771428571428572,27.900000000000002,22.24285714285714,PYF
1779,2004,12,252.0,26.085714285714285,28.771428571428572,23.857142857142858,PYF
1780,2004,1,240.5,26.055555555555557,31.2625,23.422222222222224,GAB
1781,2004,2,197.0,26.4125,32.01428571428571,22.9625,GAB
1782,2004,5,97.28571428571429,25.285714285714285,30.514285714285712,22.914285714285715,GAB
1783,2004,6,103.85714285714286,24.25714285714286,27.766666666666666,21.714285714285715,GAB
1784,2004,9,233.0,24.025,28.05,22.8,GAB
1785,2004,12,251.28571428571428,27.371428571428574,30.357142857142858,22.942857142857143,GAB
1786,2004,1,5.0,5.6,,,GEO
1787,2004,2,34.666666666666664,2.0666666666666664,,,GEO
1788,2004,3,57.2,9.16,,,GEO
1789,2004,5,67.8,12.88,,,GEO
1790,2004,6,94.8,20.119999999999997,,,GEO
1791,2004,7,91.66666666666667,22.150000000000002,,,GEO
1792,2004,8,61.8,23.740000000000002,,,GEO
1793,2004,9,76.5,19.55,,,GEO
1794,2004,10,73.8,14.36,,,GEO
1795,2004,11,127.5,7.816666666666666,,,GEO
1796,2004,12,92.83333333333333,-60.56666666666667,,,GEO
1797,2004,1,102.46666666666667,-0.6509433962264151,1.687735849056604,-3.1226415094339623,DEU
1798,2004,2,51.53333333333333,1.940566037735849,4.790566037735849,-0.8547169811320755,DEU
1799,2004,3,37.99047619047619,3.5235849056603774,7.428301886792452,-0.2575471698113208,DEU
1800,2004,4,39.01923076923077,8.596190476190477,13.52,3.7600000000000002,DEU
1801,2004,5,69.6952380952381,10.674528301886792,15.189622641509434,6.005660377358491,DEU
1802,2004,6,72.88571428571429,14.320754716981131,19.06132075471698,9.60754716981132,DEU
1803,2004,7,102.35238095238095,15.902830188679246,20.754716981132077,11.420754716981131,DEU
1804,2004,8,93.11538461538461,17.706666666666667,22.693333333333335,13.148571428571428,DEU
1805,2004,9,67.09615384615384,13.51047619047619,18.220952380952383,9.015238095238095,DEU
1806,2004,10,51.65384615384615,9.656190476190476,13.51047619047619,6.120952380952382,DEU
1807,2004,11,73.8076923076923,3.86952380952381,6.395238095238096,1.2752380952380953,DEU
1808,2004,12,42.64423076923077,1.0561904761904763,3.3476190476190477,-1.303809523809524,DEU
1809,2004,1,25.6,27.22,33.0,22.46,GHA
1810,2004,2,2044.2,28.619999999999997,34.3,23.56,GHA
1811,2004,3,130.8,29.060000000000002,34.2,24.4,GHA
1812,2004,4,44.0,28.24,32.839999999999996,24.48,GHA
1813,2004,5,98.5,27.7,32.2,24.1,GHA
1814,2004,6,99.0,25.82,29.660000000000004,23.119999999999997,GHA
1815,2004,7,134.2,24.919999999999998,28.439999999999998,22.28,GHA
1816,2004,8,108.8,24.759999999999998,28.1,16.119999999999997,GHA
1817,2004,9,200.33333333333334,25.46666666666667,29.75,22.133333333333336,GHA
1818,2004,10,172.0,26.68,31.439999999999998,22.72,GHA
1819,2004,11,38.6,27.22,32.38,23.1,GHA
1820,2004,12,19.0,27.660000000000004,32.56,23.28,GHA
1821,2004,1,32.0,14.4,17.5,11.4,GIB
1822,2004,2,111.0,13.3,15.1,11.6,GIB
1823,2004,3,57.0,15.1,18.0,12.2,GIB
1824,2004,4,88.0,15.5,18.2,12.8,GIB
