Country Label,Pollutant,Unit,Value
France,O3,µg/m³,46.12520837004406
France,PM1,µg/m³,0.0
France,PM10,µg/m³,14.696697478994727
France,PM2.5,µg/m³,8.637229639466305
France,RELATIVEHUMIDITY,%,42.14915148417155
France,SO2,µg/m³,1.6798170731707318
France,TEMPERATURE,c,16.739404956499733
France,UM003,particles/cm³,209.11309560139972
Gabon,PM2.5,µg/m³,17.0
Germany,CO,µg/m³,360.89338536363636
Germany,NO2,µg/m³,15.485849777796977
Germany,O3,µg/m³,38.69062019570513
Germany,PM1,µg/m³,17.606018059341995
Germany,PM10,µg/m³,22.121781993736498
Germany,PM2.5,µg/m³,18.38233692068142
Germany,RELATIVEHUMIDITY,%,47.48941007614136
Germany,SO2,µg/m³,23.658585306
Germany,TEMPERATURE,c,10.831822893354628
Germany,UM003,particles/cm³,2958.5127978515625
Ghana,PM1,µg/m³,12.648313442866007
Ghana,PM10,µg/m³,20.473799626032513
Ghana,PM2.5,µg/m³,-158.90630428357557
Ghana,RELATIVEHUMIDITY,%,65.40148830413818
Ghana,TEMPERATURE,c,32.69781548567493
Ghana,UM003,particles/cm³,3052.1359252929688
Gibraltar,CO,µg/m³,470.0
Gibraltar,NO2,µg/m³,38.03333333333333
Gibraltar,O3,µg/m³,84.2
Gibraltar,SO2,µg/m³,1.5
Greece,CO,µg/m³,1052.3809523809523
Greece,NO2,µg/m³,23.147058823529413
Greece,O3,µg/m³,43.36666666666667
Greece,PM10,µg/m³,25.363636363636363
Greece,PM2.5,µg/m³,15.75
Greece,SO2,µg/m³,6.352941176470588
Guatemala,PM10,µg/m³,1.0
Guatemala,PM2.5,µg/m³,-483.0
Guinea,PM2.5,µg/m³,-999.0
"Hong Kong, China",CO,µg/m³,654.6727272727272
"Hong Kong, China",NO2,µg/m³,60.21111111111111
"Hong Kong, China",O3,µg/m³,45.349999999999994
"Hong Kong, China",PM10,µg/m³,51.32222222222222
"Hong Kong, China",PM2.5,µg/m³,35.05
"Hong Kong, China",SO2,µg/m³,5.383333333333334
Hungary,CO,µg/m³,784.8483870375
Hungary,NO2,µg/m³,29.448695025925925
Hungary,O3,µg/m³,42.6222581935065
Hungary,PM10,µg/m³,25.966681398823532
Hungary,PM2.5,µg/m³,16.488711184615383
Hungary,SO2,µg/m³,7.954054955714285
Iceland,CO,µg/m³,102.414
Iceland,NO2,µg/m³,5.589285733333333
Iceland,PM1,µg/m³,1.148705
Iceland,PM10,µg/m³,72.48935200000001
Iceland,PM2.5,µg/m³,3.76624
Iceland,SO2,µg/m³,11.141062
India,CO,µg/m³,1415.7424060150374
India,NO2,µg/m³,36.29724565756824
India,O3,µg/m³,25.899527559055116
India,PM10,µg/m³,180.06112565445028
India,PM2.5,µg/m³,94.92856678232333
India,SO2,µg/m³,16.05568123393316
India,TEMPERATURE,c,28.563547706604005
Indonesia,PM1,µg/m³,36.441145737965904
Indonesia,PM10,µg/m³,67.40848223368326
Indonesia,PM2.5,µg/m³,-412.17079081308276
