country_code,year,co2,co2_per_capita,population
ABW,1970,16655.514,0.2817905796365851,107728.3600000001
ABW,1971,14495.651,0.2439437683959335,108418.45534246601
ABW,1972,14055.611,0.2352868181498605,109119.73687897203
ABW,1973,15592.084,0.259633098712332,109834.46831587958
ABW,1974,14132.618,0.2340984654731457,110595.86619647848
ABW,1975,10234.597,0.1686470137509989,111284.68495667027
ABW,1976,21862.654,0.3583888883424641,61002.6
ABW,1977,11419.038,0.186224398103678,61318.700000000004
ABW,1978,9724.884,0.1577823567205539,61634.800000000025
ABW,1979,10201.594,0.1646722485064785,61950.9
ABW,1980,10498.621,0.1686065010358616,62267.00000000002
ABW,1981,9999.909,0.1597136149109987,62611.50000000003
ABW,1982,11180.683,0.1775951934684541,62956.00000000003
ABW,1983,5746.189,0.0907763603763003,63300.50000000004
ABW,1984,14348.971,0.2254532327755518,63645.00000000002
ABW,1985,16794.86,0.2624627477945601,63989.49999999999
ABW,1986,179.683,0.0027929710572947,64334.000000001
ABW,1987,447.374,0.006916888919811,64678.50000000061
ABW,1988,612.389,0.009418036694708,65023.00000000018
ABW,1989,649.059,0.0099293838681301,65367.50000000057
ABW,1990,487.711,0.0074219472851229,65712.00000000054
ABW,1991,531.715,0.0078134896085136,68050.90000000024
ABW,1992,539.049,0.0076580555705514,70389.80000000013
ABW,1993,649.059,0.0089243861089226,72728.7000000001
ABW,1994,660.06,0.008792874688947,75067.60000000025
ABW,1995,707.731,0.0091430435428549,77406.50000000023
ABW,1996,726.066,0.0091048010292756,79745.40000000062
ABW,1997,759.069,0.009247432212981,82084.3000000004
ABW,1998,806.74,0.0095559040642856,84423.20000000042
ABW,1999,810.407,0.0093405646013639,86762.10000000056
ABW,2000,2379.883,0.0267099471386404,89101.00000000006
ABW,2001,2409.219,0.0267023441396508,90225.00000000025
ABW,2002,2438.555,0.0266949282422358,91349.00000000006
ABW,2003,2563.233,0.0277187178960345,92473.00000000007
ABW,2004,2618.238,0.0279735247924612,93597.00000000032
ABW,2005,2720.914,0.0287255624412749,94721.00000000001
ABW,2006,2717.247,0.0283504303823882,95845.0000000001
ABW,2007,2823.59,0.0291184811640833,96969.00000000022
ABW,2008,2658.575,0.0271025965155515,98093.00000000023
ABW,2009,2629.239,0.0264998840924438,99217.00000000013
ABW,2010,2508.228,0.0249970400932819,100341.00000000003
ABW,2011,2500.894,0.0247309150529744,101124.20000000024
ABW,2012,1349.456,0.0132419824271838,101907.40000000072
ABW,2013,861.745,0.0083916638913396,102690.6000000002
ABW,2014,872.746,0.0084344636033469,103473.80000000042
ABW,2015,898.415,0.0086173110678419,104257.00000000081
ABW,2016,883.747,0.0084389329523904,104722.60000000012
ABW,2020,883.747,0.008203475853526399,107728.3600000001
ABW,2021,-176.09207906870097,-0.0016241891522294004,108418.45534246601
ABW,2022,-517.4121374354379,-0.0047416915787591675,109119.73687897203
ABW,2023,-858.7321958021748,-0.007818421748375883,109834.46831587958
ABW,2024,-1200.0522541689118,-0.010850787605722672,110595.86619647848
ABW,2025,-1541.3723125356487,-0.013850713718026845,111284.68495667027
AFG,1970,1672.152,0.0001555060457244,10752971.000005484
AFG,1971,1895.839,0.000173510939668,10926337.000004403
AFG,1972,1532.806,0.0001380943255869,11099703.000000792
AFG,1973,1639.149,0.0001454039711812,11273069.000002205
AFG,1974,1917.841,0.0001675491976322,11446435.000005184
AFG,1975,2126.86,0.0001830375580442,11619801.000002442
AFG,1976,1987.514,0.0001685309806941,11793167.00000417
AFG,1977,2390.884,0.0001997975520562,11966533.000001326
AFG,1978,2159.863,0.0001779144126322,12139899.000004316
AFG,1979,2240.537,0.0001819612426111,12313265.000001283
AFG,1980,1760.16,0.0001409635633502,12486631.000006588
AFG,1981,1983.847,0.0001611907749352,12307447.500004407
AFG,1982,2101.191,0.0001732474655894,12128264.000004854
AFG,1983,2522.896,0.0002111372502679,11949080.500001024
AFG,1984,2830.924,0.0002405224106888,11769897.000004677
AFG,1985,3509.319,0.0003027698855639,11590713.500003466
AFG,1986,3142.619,0.0002753898031201,11411530.000003215
AFG,1987,3124.284,0.0002781506072662,11232346.500002243
AFG,1988,2867.594,0.000259436506998,11053163.000001794
AFG,1989,2775.919,0.0002552808748627,10873979.500003662
AFG,1990,2380.0,0.0002225381391098,10694796.000004796
AFG,1991,2230.0,0.0001925798117667,11579614.60000555
AFG,1992,1390.0,0.0001115173050949,12464433.200005375
AFG,1993,1340.0,0.0001003801576355,13349251.800000178
AFG,1994,1290.0,9.06276253909774e-05,14234070.4
AFG,1995,1240.0,8.201660849550519e-05,15118889.000000002
AFG,1996,1180.0,7.373291424044763e-05,16003707.6
AFG,1997,1100.0,6.513297767806406e-05,16888526.2
AFG,1998,1040.0,5.851459090581532e-05,17773344.8
AFG,1999,810.0,4.341263299259133e-05,18658163.4
AFG,2000,760.0,3.888864043368612e-05,19542981.999999996
AFG,2001,730.0,3.577089788530782e-05,20407651.0
AFG,2002,1029.99997138977,4.841972908407593e-05,21272320.0
AFG,2003,1220.00002861023,5.511138071262672e-05,22136989.0
AFG,2004,1029.99997138977,4.477937944255019e-05,23001658.0
AFG,2005,1549.99995231628,6.49450563681743e-05,23866327.0
AFG,2006,1759.99999046326,7.116575452372642e-05,24730996.0
AFG,2007,1769.99998092651,6.9152334230289e-05,25595665.0
AFG,2008,3559.99994277954,0.0001345410055209,26460334.00000507
AFG,2009,4880.00011444092,0.0001785910184324,27325003.000014193
AFG,2010,7110.0001335144,0.0002522200376618,28189672.00000242
AFG,2011,8930.00030517578,0.0003047528157222,29302437.400007475
AFG,2012,8079.99992370605,0.0002656566183969,30415202.800008003
AFG,2013,5989.99977111816,0.0001899900346612,31527968.200015523
AFG,2014,4880.00011444092,0.000149506447197,32640733.60000786
AFG,2015,5949.99980926514,0.0001762780151848,33753499.00001707
AFG,2016,5300.00019073486,0.0001523109131275,34797245.20000882
AFG,2017,4780.00020980835,0.000133366852397,35840991.400018014
AFG,2018,6070.00017166138,0.0001645667169301,36884737.60000707
AFG,2019,6079.99992370605,0.0001603016866101,37928483.80001369
AFG,2020,6079.99992370605,0.00015600852000782224,38972230.00001025
AFG,2021,6259.898766466496,0.00015643498824513836,40015976.20001125
AFG,2022,6349.848187251048,0.00015464907739487466,41059722.40000892
AFG,2023,6439.7976080356,0.00015295171210749067,42103468.60001063
AFG,2024,6529.747028820152,0.0001513364665387121,43147214.800008774
AFG,2025,6619.696449604704,0.0001497975219322201,44190961.00000882
AGO,1970,3582.659,0.0005941686982768,6029700.000000638
AGO,1971,3410.31,0.0005448010440442,6259734.7000005385
AGO,1972,4506.743,0.0006944380797259,6489769.400000136
AGO,1973,4880.777,0.0007263272749275,6719804.100000494
AGO,1974,4873.443,0.0007012310846691,6949838.80000086
AGO,1975,4415.068,0.0006149228116623,7179873.500000588
AGO,1976,3285.632,0.0004434106214703,7409908.200000289
AGO,1977,3534.988,0.000462698222522,7639942.9000009205
AGO,1978,5412.492,0.000687739187466,7869977.600000552
AGO,1979,5504.167,0.000679525758251,8100012.300000109
AGO,1980,5346.486,0.0006418314326437,8330047.000001005
AGO,1981,5280.48,0.0006083568116019,8679906.100000191
AGO,1982,4649.756,0.0005149365345623,9029765.200001448
AGO,1983,5115.465,0.0005453805862991,9379624.30000131
AGO,1984,5009.122,0.0005148394620828,9729483.40000091
AGO,1985,4701.094,0.0004664087960102,10079342.500001201
AGO,1986,4660.757,0.0004468948994139,10429201.6000016
AGO,1987,5815.862,0.0005395518368312,10779060.7
AGO,1988,5130.133,0.0004609731305638,11128919.800001172
AGO,1989,5009.122,0.0004363810857965,11478778.900000107
AGO,1990,6560.0,0.0005545862507585,11828638.00000086
AGO,1991,6670.0,0.000542930570234,12285180.40000081
AGO,1992,6880.0,0.0005399583798825,12741722.800000163
AGO,1993,9270.0,0.0007023650350653,13198265.20000124
AGO,1994,11300.0,0.0008275473614143,13654807.600000085
AGO,1995,12720.0,0.0009014020628784,14111350.000000987
AGO,1996,15440.0,0.0010598650495249,14567892.400000554
AGO,1997,16160.0,0.0010755812258574,15024434.80000132
AGO,1998,16770.0,0.0010832649504838,15480977.200001074
AGO,1999,17610.0,0.0011049398176112,15937519.600000974
AGO,2000,16200.0,0.0009881626652381,16394062.00000136
AGO,2001,15960.0,0.0009338207604655,17091074.300001755
AGO,2002,15689.9995803833,0.0008820510003804,17788086.60000013
AGO,2003,16760.0002288818,0.0009066762541844,18485098.900001794
AGO,2004,17450.0007629395,0.0009097017831352,19182111.20000199
AGO,2005,15810.0004196167,0.0007953067155911,19879123.50000232
AGO,2006,16559.9994659424,0.0008048158131782,20576135.800000407
AGO,2007,16969.9993133545,0.0007977192295932,21273148.100000568
AGO,2008,19280.0006866455,0.0008775539338641,21970160.400000263
AGO,2009,21149.9996185303,0.0009330673877351,22667172.700000994
AGO,2010,22799.9992370605,0.0009758525382785,23364185.000002094
AGO,2011,23870.0008392334,0.000981622184402,24316892.200001467
AGO,2012,23870.0008392334,0.0009446133459176,25269599.40000214
AGO,2013,26959.9990844727,0.0010281322499856,26222306.600002382
AGO,2014,29629.9991607666,0.0010903398018059,27175013.80000184
AGO,2015,31649.9996185303,0.0011252244580543,28127721.00000244
AGO,2016,29760.0002288818,0.0010196015109837,29187873.800000247
AGO,2017,24250.0,0.0008017051928934,30248026.600002874
AGO,2018,23959.9990844727,0.0007652951894249,31308179.40000124
AGO,2019,25209.9990844727,0.0007788476381391,32368332.200001184
