country_code,pollutant,unit,value
DEU,O3,µg/m³,38.69062019570513
DEU,PM1,µg/m³,17.606018059341995
DEU,PM10,µg/m³,22.121781993736498
DEU,PM2.5,µg/m³,18.38233692068142
DEU,RELATIVEHUMIDITY,%,47.48941007614136
DEU,SO2,µg/m³,23.658585306
DEU,TEMPERATURE,c,10.831822893354628
DEU,UM003,particles/cm³,2958.5127978515625
GHA,PM1,µg/m³,12.648313442866007
GHA,PM10,µg/m³,20.473799626032513
GHA,PM2.5,µg/m³,-158.90630428357557
GHA,RELATIVEHUMIDITY,%,65.40148830413818
GHA,TEMPERATURE,c,32.69781548567493
GHA,UM003,particles/cm³,3052.1359252929688
GIB,CO,µg/m³,470.0
GIB,NO2,µg/m³,38.03333333333333
GIB,O3,µg/m³,84.2
GIB,SO2,µg/m³,1.5
GRC,CO,µg/m³,1052.3809523809523
GRC,NO2,µg/m³,23.147058823529413
GRC,O3,µg/m³,43.36666666666667
GRC,PM10,µg/m³,25.363636363636363
GRC,PM2.5,µg/m³,15.75
GRC,SO2,µg/m³,6.352941176470588
GTM,PM10,µg/m³,1.0
GTM,PM2.5,µg/m³,-483.0
GIN,PM2.5,µg/m³,-999.0
HKG,CO,µg/m³,654.6727272727272
HKG,NO2,µg/m³,60.21111111111111
HKG,O3,µg/m³,45.349999999999994
HKG,PM10,µg/m³,51.32222222222222
HKG,PM2.5,µg/m³,35.05
HKG,SO2,µg/m³,5.383333333333334
HUN,CO,µg/m³,784.8483870375
HUN,NO2,µg/m³,29.448695025925925
HUN,O3,µg/m³,42.6222581935065
HUN,PM10,µg/m³,25.966681398823532
HUN,PM2.5,µg/m³,16.488711184615383
HUN,SO2,µg/m³,7.954054955714285
ISL,CO,µg/m³,102.414
ISL,NO2,µg/m³,5.589285733333333
ISL,PM1,µg/m³,1.148705
ISL,PM10,µg/m³,72.48935200000001
ISL,PM2.5,µg/m³,3.76624
ISL,SO2,µg/m³,11.141062
IND,CO,µg/m³,1415.7424060150374
IND,NO2,µg/m³,36.29724565756824
IND,O3,µg/m³,25.899527559055116
IND,PM10,µg/m³,180.06112565445028
IND,PM2.5,µg/m³,94.92856678232333
IND,SO2,µg/m³,16.05568123393316
IND,TEMPERATURE,c,28.563547706604005
IDN,PM1,µg/m³,36.441145737965904
IDN,PM10,µg/m³,67.40848223368326
IDN,PM2.5,µg/m³,-412.17079081308276
IDN,RELATIVEHUMIDITY,%,75.23928642272949
IDN,TEMPERATURE,c,29.95282745361328
IDN,UM003,particles/cm³,7157.075887044271
IRQ,CO,µg/m³,232.21666666666667
IRQ,NO2,µg/m³,10.281333333333334
IRQ,O3,µg/m³,50.79266666666666
IRQ,PM10,µg/m³,65.88533333333332
IRQ,PM2.5,µg/m³,47.8106
IRQ,SO2,µg/m³,422.9996666666666
IRL,CO,µg/m³,267.21989890500004
