year,month,R1,temp_mean,temp_max,temp_min,country_code
2004,11,55.8,17.380000000000003,22.54,12.34,TUN
2004,12,31.4,12.620000000000001,16.660000000000004,8.580000000000002,TUN
2004,1,135.11428571428573,2.4371428571428573,6.317142857142857,-1.0971428571428572,TUR
2004,2,60.74285714285714,3.448571428571429,8.128571428571428,-0.7714285714285714,TUR
2004,3,36.114285714285714,8.837142857142858,14.559999999999999,3.3685714285714288,TUR
2004,4,62.457142857142856,11.642857142857142,17.64857142857143,6.057142857142857,TUR
2004,5,48.542857142857144,16.102857142857143,21.802857142857142,10.351428571428572,TUR
2004,6,624.9705882352941,21.27058823529412,27.264705882352942,14.700000000000001,TUR
2004,7,2347.4666666666667,24.41142857142857,30.73142857142857,17.325714285714284,TUR
2004,8,1147.2222222222222,24.28857142857143,30.742857142857144,17.48857142857143,TUR
2004,9,2386.235294117647,20.65714285714286,28.01142857142857,13.751428571428571,TUR
2004,10,31.97142857142857,16.194285714285712,23.228571428571428,10.38,TUR
2004,11,115.17142857142858,8.731428571428571,14.151428571428571,4.4714285714285715,TUR
2004,12,51.91428571428571,3.1457142857142855,7.817142857142858,-0.6657142857142856,TUR
2004,1,23.666666666666668,5.5,8.366666666666667,2.1,TKM
2004,2,13.666666666666666,7.633333333333333,13.833333333333334,4.233333333333333,TKM
2004,3,14.0,10.5,17.166666666666668,5.966666666666666,TKM
2004,4,25.333333333333332,14.233333333333334,21.266666666666666,8.033333333333333,TKM
2004,5,3337.6666666666665,22.7,32.666666666666664,16.8,TKM
2004,6,3333.0,27.099999999999998,37.56666666666667,17.533333333333335,TKM
2004,7,3.0,27.366666666666664,34.766666666666666,20.5,TKM
2004,8,0.0,27.53333333333333,35.26666666666667,19.433333333333334,TKM
2004,9,1.3333333333333333,21.8,30.099999999999998,13.733333333333334,TKM
2004,10,6.333333333333333,13.299999999999999,21.53333333333333,6.2,TKM
2004,11,22.7,11.120000000000001,16.56,6.62,TKM
2004,12,20.3,4.0200000000000005,8.32,-0.010000000000000031,TKM
2004,1,287.0,28.5,,,TUV
2004,2,297.0,28.4,,,TUV
2004,3,485.0,28.4,,,TUV
2004,4,2390.0,28.3,,,TUV
2004,6,148.0,28.5,,,TUV
2004,7,163.0,28.4,,,TUV
2004,8,160.0,28.7,,,TUV
2004,9,263.0,28.5,,,TUV
2004,10,1465.0,29.0,,,TUV
2004,11,212.0,28.9,,,TUV
2004,12,,28.85,31.9,25.75,TUV
2004,1,71.0,-1.6473684210526316,0.8052631578947369,-4.010526315789474,UKR
2004,2,57.21052631578947,-0.6894736842105263,2.5,-3.594736842105263,UKR
2004,3,34.13333333333333,4.066666666666666,7.733333333333333,0.7933333333333333,UKR
2004,4,28.29032258064516,8.703225806451613,14.464516129032257,3.2096774193548385,UKR
2004,5,75.8,12.887096774193548,18.009677419354837,8.096774193548388,UKR
2004,6,49.96666666666667,16.603225806451615,21.970967741935485,11.435483870967742,UKR
2004,7,82.86666666666666,19.26451612903226,24.761290322580646,14.003225806451614,UKR
2004,8,102.83870967741936,18.887096774193548,24.309677419354838,14.041935483870969,UKR
2004,9,48.29032258064516,13.980645161290322,19.606451612903225,9.083870967741936,UKR
2004,10,357.0,9.048387096774194,13.52258064516129,5.270967741935484,UKR
2004,11,55.03333333333333,3.5870967741935487,6.929032258064517,0.6838709677419355,UKR
2004,12,30.333333333333332,0.38,2.8,-2.0266666666666664,UKR
2004,1,11.0,21.3,26.0,16.6,ARE
2004,2,3333.0,20.7,27.0,13.4,ARE
2004,3,6668.0,24.133333333333336,31.3,17.766666666666666,ARE
2004,4,9999.0,27.8,35.3,15.3,ARE
