country_code,year,value,co2_per_capita
ISR,1978,21176.925,0.005920058712698424
ISR,1979,21019.244,0.005741585645344795
ISR,1980,21147.589,0.005647477386150967
ISR,1981,21213.595,0.005509348384922931
ISR,1982,24081.189,0.00608673825881171
ISR,1983,23938.176,0.005892906649787808
ISR,1984,23743.825,0.005696604305536016
ISR,1985,24869.594,0.005818903955164461
ISR,1986,26626.087,0.006079298997423533
ISR,1987,27385.156,0.006105044693309582
ISR,1988,30051.065,0.006544898766527407
ISR,1989,31756.22,0.006760397594459595
ISR,1990,33810.0,0.007038978159389447
ISR,1991,34520.0,0.0069954665647906245
ISR,1992,36860.0,0.0072759648312311735
ISR,1993,40500.0,0.00779240989261251
ISR,1994,43360.0,0.008137014716962127
ISR,1995,46780.0,0.008567599237084408
ISR,1996,48730.0,0.0087150506438693
ISR,1997,50970.0,0.00890640651082954
ISR,1998,51500.0,0.008797077088291154
ISR,1999,52980.0,0.008851261319774185
ISR,2000,57000.0,0.009318357261893902
ISR,2001,57950.0,0.009289677587592401
ISR,2002,61080.0018310547,0.009604898370814718
ISR,2003,62930.0003051758,0.009710814223016711
ISR,2004,63159.9998474121,0.009567445987467086
ISR,2005,61009.9983215332,0.009075220478186218
ISR,2006,64330.0018310547,0.009399679997533363
ISR,2007,66599.9984741211,0.009562097486350082
ISR,2008,66709.9990844727,0.009414141907582154
ISR,2009,65730.0033569336,0.009119925228678832
ISR,2010,70519.9966430664,0.009622777634691453
ISR,2011,69819.9996948242,0.009353843118610457
ISR,2012,76059.9975585938,0.010007659762318967
ISR,2013,67000.0,0.008660756463044268
ISR,2014,64720.0012207031,0.008221637405713573
ISR,2015,66139.9993896484,0.008259469654334623
ISR,2016,64980.0033569336,0.007965461153832365
ISR,2017,65610.0006103516,0.007897528504570865
ISR,2018,61080.0018310547,0.007221903212530733
ISR,2019,62650.0015258789,0.0072784967635469485
ITA,1970,296740.974,0.005564863357304762
ITA,1971,311588.657,0.005810556530487811
ITA,1972,328970.237,0.006100500198745946
ITA,1973,354320.208,0.006534178541396274
ITA,1974,359406.337,0.006591441216942433
ITA,1975,342310.783,0.006243498416530512
ITA,1976,367312.389,0.0066629848552941014
ITA,1977,356175.71,0.006425934283337378
ITA,1978,373234.594,0.006697386650633858
ITA,1979,387466.221,0.006915466167666425
ITA,1980,388969.691,0.006905259505138002
ITA,1981,378020.029,0.00670578932041808
ITA,1982,369681.271,0.0065529015458040945
ITA,1983,361364.515,0.00640063478639513
ITA,1984,367649.753,0.006507039157389739
ITA,1985,372134.494,0.006581439833384214
ITA,1986,366454.311,0.006476090613051283
ITA,1987,383670.876,0.006775233333164926
ITA,1988,389780.098,0.006877928734709952
ITA,1989,408907.17,0.007210005098383978
ITA,1990,405260.0,0.007140319865398469
ITA,1991,404070.0,0.007116721986600315
ITA,1992,402270.0,0.007082401828855839
ITA,1993,396930.0,0.0069858044785242246
ITA,1994,392290.0,0.006901593612781918
ITA,1995,416420.0,0.007323411337928794
ITA,1996,412150.0,0.007245642701833376
ITA,1997,415520.0,0.007302193939881272
ITA,1998,426370.0,0.007490105768261908
ITA,1999,433010.0,0.007603948661473761
ITA,2000,436300.0,0.007658901088654071
ITA,2001,436570.0,0.007625410159672268
ITA,2002,443470.001220703,0.007707480719457356
ITA,2003,462200.012207031,0.007993329824241417
ITA,2004,472399.993896484,0.008129574968648802
ITA,2005,473829.986572266,0.008114301985912507
ITA,2006,466649.993896484,0.007952449980673562
ITA,2007,459369.995117188,0.007790469858055643
ITA,2008,444980.010986328,0.007510054059499185
ITA,2009,397059.997558594,0.006669147475976233
ITA,2010,405269.989013672,0.006774546830055806
ITA,2011,396690.002441406,0.006622035566836225
ITA,2012,376750.0,0.00628056593488652
ITA,2013,346459.991455078,0.005767726875006846
ITA,2014,327500.0,0.005444647775577597
ITA,2015,337859.985351563,0.005609226049155972
ITA,2016,333339.996337891,0.005547674200856074
ITA,2017,329190.002441406,0.0054919943050194325
ITA,2018,324880.004882813,0.005433365694194674
ITA,2019,317239.990234375,0.0053186204517851185
JAM,1970,4994.454,0.0026865032427137777
JAM,1971,5753.523,0.0030494576216657707
JAM,1972,6288.905,0.003285083645792741
JAM,1973,8298.421,0.004273070798431021
JAM,1974,7601.691,0.0038593670116816342
JAM,1975,8188.411,0.004099702175692059
JAM,1976,7282.662,0.00359644023301155
JAM,1977,7447.677,0.0036283944900381685
JAM,1978,9119.829,0.004383995712064146
JAM,1979,8536.776,0.00404989514448144
JAM,1980,8452.435,0.003957973745355988
JAM,1981,7414.674,0.003430822326765237
JAM,1982,6219.232,0.0028439319003633915
JAM,1983,6450.253,0.002915380183207056
JAM,1984,5144.801,0.0022986953092648914
JAM,1985,5045.792,0.0022289154284765183
JAM,1986,4550.747,0.001987714967753636
JAM,1987,5383.156,0.0023252521894662347
JAM,1988,4528.745,0.0019347548879128983
JAM,1989,6728.945,0.002843558705831722
JAM,1990,7470.0,0.00312287053256021
JAM,1991,7410.0,0.0030695336359371555
JAM,1992,8150.0,0.0033455593344184167
JAM,1993,8320.0,0.0033847521391165676
JAM,1994,8380.0,0.00337889601225757
JAM,1995,8680.0,0.0034690617047360883
JAM,1996,9040.0,0.003581424923785772
JAM,1997,9200.0,0.0036132949617118377
JAM,1998,9720.0,0.003784796177823119
JAM,1999,9980.0,0.0038530029196728035
JAM,2000,10060.0,0.003851152570338086
JAM,2001,10080.0,0.003840915820652246
JAM,2002,10250.0,0.0038876662441942916
JAM,2003,10590.0001525879,0.003998169281196716
JAM,2004,10569.9996948242,0.003972367838275017
JAM,2005,10560.0004196167,0.003950542804790519
JAM,2006,12060.0004196167,0.004491252938723037
JAM,2007,12020.0004577637,0.004456161790017026
JAM,2008,9619.99988555908,0.0035503947860271077
JAM,2009,7880.00011444092,0.002895220719772039
JAM,2010,7480.00001907349,0.002736022152661802
JAM,2011,7530.00020980835,0.00274216471422178
JAM,2012,6960.00003814697,0.0025234620471117925
JAM,2013,7400.00009536743,0.002671262813259683
JAM,2014,7190.00005722046,0.0025841602612152767
JAM,2015,7090.00015258789,0.0025371764885649527
JAM,2016,7570.00017166138,0.0027039160460380733
JAM,2017,7219.99979019165,0.0025741205154029925
JAM,2018,8609.99965667725,0.0030640136376288967
JAM,2019,8390.00034332275,0.0029802101773863474
JOR,1970,1558.475,0.0010007069592788886
JOR,1971,1657.484,0.0010210414180902197
JOR,1972,1917.841,0.001135300972639346
JOR,1973,2203.867,0.0012555981893454925
JOR,1974,2229.536,0.0012242222868443502
JOR,1975,2493.56,0.0013213444588195302
JOR,1976,2951.935,0.0015114167212041383
JOR,1977,3164.621,0.001567385619027775
JOR,1978,3641.331,0.0017464440719632622
JOR,1979,3795.345,0.0017644970006510145
JOR,1980,4726.763,0.002132146963579372
JOR,1981,5863.533,0.0025022850532806402
JOR,1982,6292.572,0.002547971570590983
JOR,1983,7363.336,0.002836407065278145
JOR,1984,8353.426,0.00306843145801356
JOR,1985,8540.443,0.0029979668239874047
JOR,1986,9281.177,0.003119604449363174
JOR,1987,9662.545,0.003115460809732948
JOR,1988,9314.18,0.0028855676140113317
JOR,1989,9233.506,0.0027528038870215554
